county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
37019,37,0.42857143,0.5816327,0.57923496,-0.002397716,-0.017722905,0.015325189,0.62038785,-0.41871032,1.0390981,0.6245187,-0.38776553,1.0122842,0.63023335,-2.4,0.016045094,0.25118235,0.12903802,11.383341,5.0,0.48752362,29.851482
37021,37,0.4695291,0.5150754,0.54444444,0.029369056,-0.0029258728,0.03229493,0.2735584,-0.40302905,0.67658746,0.21810576,-0.39733243,0.6154382,0.15562996,-1.3999999,0.003281474,0.10139378,0.12851733,12.308819,4.4,0.5194187,29.36344
37023,37,0.50625,0.5074627,0.5683453,0.060882628,0.11018437,-0.049301744,0.14994015,-0.07637298,0.22631313,0.036634132,-0.272867,0.3095011,-0.09531018,-2.1000004,-0.025487363,-0.0180798,0.05400888,11.402285,6.3,0.46279293,27.55315
37025,37,0.46861926,0.5840164,0.63439065,0.05037427,-0.08218485,0.13255912,0.2876821,-0.73250824,1.0201904,0.20494619,-0.5808436,0.7857898,0.07586575,-1.4000001,-0.02444321,0.12584336,0.10053797,11.92369,4.6,0.5116348,32.560364
37027,37,0.45652175,0.607362,0.652439,0.045077026,-0.037917554,0.08299458,0.07770898,-0.8815478,0.95925677,0.0061162272,-0.8170841,0.8232003,-0.115831815,-0.5,-0.025558382,-0.046421662,0.03850627,11.292503,8.1,0.49468946,24.943115
37029,37,0.5813953,0.5405405,0.41666666,-0.12387386,0.07057059,-0.19444445,-0.6931472,-0.597837,-0.09531018,-0.43286407,-0.7205461,0.2876821,-0.19415602,-0.3000002,0.008429587,0.17094018,0.2124715,9.103979,4.1,0.4864865,24.7404
37031,37,0.5833333,0.45933014,0.5854701,0.12613994,0.03722158,0.08891836,0.35563272,-0.2876821,0.6433148,0.11298686,-0.3656005,0.47858736,-0.15267684,-1.8000002,0.016547918,0.10110585,0.17414513,11.048236,4.6,0.5132653,24.204254
37033,37,0.2777778,0.6511628,0.7058824,0.054719567,0.0988372,-0.04411763,-0.15415068,-1.13498,0.98082924,-0.23483959,-1.0379877,1.0414538,-0.4054651,-1.0000005,-0.012325048,0.08438819,0.25271627,10.078575,7.8,0.44415998,20.641453
37035,37,0.4246862,0.53243846,0.5584906,0.026052117,-0.017388284,0.0434404,0.21808878,-0.43531808,0.65340686,0.17031841,-0.40211502,0.5724334,0.11298686,-3.0999994,-0.027543962,0.028181817,0.167609,11.909208,6.2,0.51717365,30.671667
37037,37,0.40163934,0.5826087,0.6168831,0.0342744,-0.12927535,0.16354975,0.34918427,-0.6783321,1.0275164,0.29202047,-0.427444,0.7194645,0.20633644,-1.5000002,0.014375329,0.041289024,0.19792342,10.951595,4.0,0.5391884,28.25381
37039,37,0.40441176,0.5825243,0.6268657,0.044341385,0.094895065,-0.05055368,-0.35667494,-1.0498221,0.6931472,-0.43003637,-1.0379877,0.7707054,-0.5423243,-4.9,-0.008600473,0.136,0.08063211,10.168809,6.0,0.39966252,24.490501
37041,37,0.39772728,0.6292135,0.5632184,-0.0659951,-0.038304448,-0.027690649,-0.13353139,-0.7672551,0.63372374,-0.022728251,-0.70444673,0.68171847,0.14107859,-1.0,0.037398726,0.08839779,0.05057793,9.5904875,4.9,0.47692308,26.167765
37043,37,0.7692308,0.42857143,0.5121951,0.08362368,-0.005494505,0.08911818,0.5596158,-0.087011375,0.6466272,0.38136756,-0.074107975,0.45547554,0.22314355,-1.9000001,0.025916636,0.16239317,0.11848609,9.1935,4.2,0.45784602,21.031351
37045,37,0.667426,0.3975535,0.6076389,0.21008539,0.13887036,0.07121503,0.29725152,-0.47308528,0.7703368,-0.12699969,-0.77268034,0.64568067,-0.55581594,-3.8000002,-0.008092165,-0.021062272,0.117218636,11.480857,7.0,0.48971543,29.264053
37047,37,0.3691275,0.6909871,0.62393165,-0.067055464,-0.10403061,0.036975145,-0.097797744,-0.6869552,0.58915746,0.0042826617,-0.52378476,0.5280674,0.20067069,-3.2999997,0.010719031,-0.040609136,0.10410658,10.917903,6.4,0.42951682,26.544731
37049,37,0.4822695,0.5586207,0.6481481,0.08952743,-0.01088202,0.10040945,0.2595112,-0.39624846,0.65575963,0.11086259,-0.3765761,0.48743868,-0.115831815,-1.6999998,0.016221195,0.076001845,0.14268897,11.4587755,4.7,0.43064955,29.976387
37051,37,0.51363635,0.50793654,0.6078125,0.09987599,0.05752307,0.042352915,0.5519333,-0.09844007,0.65037334,0.3724233,-0.20572248,0.5781458,0.14555559,-1.4000001,0.026813716,0.08216849,0.111249804,12.623779,5.4,0.4186865,27.131079
37053,37,0.46938777,0.73913044,0.58928573,-0.1498447,-0.07246375,-0.077380955,0.2578291,-0.19415602,0.45198512,0.48439237,-0.090971775,0.5753642,0.9382696,0.29999995,0.035571873,0.2122905,0.24888806,10.017619,3.0,0.5381836,25.506062
37055,37,0.44247788,0.4864865,0.49242425,0.005937755,0.02075988,-0.014822125,0.18540323,-0.43363598,0.61903924,0.17327172,-0.4754237,0.6486954,0.16164134,-1.0,0.01930046,0.103170335,0.17197278,10.414933,4.7,0.6751514,28.205645
37057,37,0.4637224,0.5356037,0.54312354,0.007519841,-0.06472993,0.07224977,0.29774687,-0.5785806,0.87632746,0.2838046,-0.44977614,0.73358077,0.26747936,-0.7999997,-0.016043901,0.0,0.067833096,11.953918,6.0,0.5038186,28.229256
